metric,label,baseline_n,baseline_mean,baseline_sd,baseline_median,baseline_q1,baseline_q3,v41_n,v41_mean,v41_sd,v41_median,v41_q1,v41_q3,delta_n,delta_mean,delta_sd,delta_median,delta_q1,delta_q3
mean_tissue_ratio_recomputed,Proporción media de tejido,9,0.8034959374999999,0.11785628833825591,0.80307575,0.699797625,0.8810625,9,0.9445875625000001,0.027558683362451757,0.933522125,0.9291763125,0.9634628125,9,0.141091625,0.09395575755359914,0.13103862499999996,0.08240031250000002,0.21874137500000002
mean_nuclear_signal_hed_recomputed,Señal HED media,9,0.43533219444444443,0.14403898796213033,0.3782134375,0.3265339375,0.5091615,9,0.587736625,0.12655190045818407,0.586563125,0.49896087499999997,0.6294598124999999,9,0.15240443055555555,0.05014265588966522,0.15480668749999993,0.10900243749999994,0.187245875
mean_visual_entropy_recomputed,Entropía visual media,9,0.8105413125,0.036021251954602464,0.8192329375,0.7858678125,0.8307298125,9,0.8642970486111111,0.03042614521777709,0.8763631875,0.8572836875000001,0.87837925,9,0.053755736111111126,0.011603300118560428,0.05564349999999996,0.04764943749999995,0.059774375000000046
mean_blur_score_recomputed,Nitidez media,9,0.011800986111111113,0.0032951847586338745,0.01063875,0.0105311875,0.013369625,9,0.019659944444444445,0.005363941688346444,0.020342625,0.0179488125,0.0232720625,9,0.007858958333333332,0.00258135071118603,0.008436625,0.007310062500000001,0.0097980625
mean_artifact_penalty_recomputed,Penalización media por artefactos,9,0.052059749999999995,0.03480719593076265,0.052215875,0.0316916875,0.072902125,9,0.006548159722222222,0.00686015147236133,0.0070473125,0.0007179375,0.0079541875,9,-0.04551159027777778,0.03133708280855612,-0.044624875,-0.0658548125,-0.029578125000000004
mean_pairwise_distance,Distancia espacial media,9,25905.428765441007,7621.541760069161,23476.771961839117,20867.083637541393,32410.445920956252,9,19201.520072090916,7201.577057355103,19002.700746119594,13491.88440551145,22780.610338486662,9,-6703.90869335009,7278.6686305735875,-5987.730510489033,-7744.9162020068,-3534.5112625569345
mean_nearest_neighbor_distance,Distancia media al vecino más cercano,9,6848.620962913473,1687.6907702388933,6621.557111135366,5460.858771795431,7927.701693551087,9,4054.170463506255,1447.7964508722291,4038.062451294389,3563.1112192781043,4468.072203822037,9,-2794.450499407217,1492.946095021921,-2631.3174067281966,-3303.1130666998233,-1487.335627303628
spatial_coverage_ratio_approx,Cobertura espacial aproximada,9,0.4311123046047651,0.1191046020971698,0.42141812628838254,0.3900178288398085,0.4844147825053427,9,0.21772743523612906,0.10056481210277424,0.2370305577755447,0.15767749733176586,0.2982011818949282,9,-0.213384869368636,0.19484337226094856,-0.1598617078856116,-0.34912807733442996,-0.1166279817456472
